Coad_ID,cenRA,cenDec
0000m016,0.0,-1.514444
0000m031,0.0,-3.028889
0000m046,0.0,-4.543333
0000m061,0.0,-6.057778
0000m076,0.0,-7.572222
0000m091,0.0,-9.086667
0000m107,0.0,-10.601111
0000m122,0.0,-12.115556
0000m137,0.0,-13.63
0000m152,0.0,-15.144444
0000m167,0.0,-16.658889
0000m182,0.0,-18.173333
0000m197,0.0,-19.687778
0000m213,0.0,-21.202222
0000m228,0.0,-22.716667
0000m243,0.0,-24.231111
0000m258,0.0,-25.745556
0000m273,0.0,-27.26
0000m288,0.0,-28.774444
0000m303,0.0,-30.288889
0000m319,0.0,-31.803333
0000m334,0.0,-33.317778
0000m349,0.0,-34.832222
0000m364,0.0,-36.346667
0000m379,0.0,-37.861111
0000m394,0.0,-39.375556
0000m409,0.0,-40.89
0000m425,0.0,-42.404444
0000m440,0.0,-43.918889
0000m455,0.0,-45.433333
0000m470,0.0,-46.947778
0000m485,0.0,-48.462222
0000m500,0.0,-49.976667
0000m515,0.0,-51.491111
0000m531,0.0,-53.005556
0000m546,0.0,-54.52
0000m561,0.0,-56.034444
0000m576,0.0,-57.548889
0000m591,0.0,-59.063333
0000m606,0.0,-60.577778
0000m621,0.0,-62.092222
0000m637,0.0,-63.606667
0000m652,0.0,-65.121111
0000m667,0.0,-66.635556
0000m682,0.0,-68.15
0000m697,0.0,-69.664444
0000m712,0.0,-71.178889
0000m727,0.0,-72.693333
0000m743,0.0,-74.207778
0000m758,0.0,-75.722222
0000m773,0.0,-77.236667
0000m788,0.0,-78.751111
0000m803,0.0,-80.265556
0000m818,0.0,-81.78
0000m833,0.0,-83.294444
0000m849,0.0,-84.808889
0000m864,0.0,-86.323333
0000m879,0.0,-87.837778
0000m894,0.0,-89.352222
0000p000,0.0,0.0
0000p015,0.0,1.514444
0000p030,0.0,3.028889
0000p045,0.0,4.543333
0000p060,0.0,6.057778
0000p075,0.0,7.572222
0000p090,0.0,9.086667
0000p106,0.0,10.601111
0000p121,0.0,12.115556
0000p136,0.0,13.63
0000p151,0.0,15.144444
0000p166,0.0,16.658889
0000p181,0.0,18.173333
0000p196,0.0,19.687778
0000p212,0.0,21.202222
0000p227,0.0,22.716667
0000p242,0.0,24.231111
0000p257,0.0,25.745556
0000p272,0.0,27.26
0000p287,0.0,28.774444
0000p302,0.0,30.288889
0000p318,0.0,31.803333
0000p333,0.0,33.317778
0000p348,0.0,34.832222
0000p363,0.0,36.346667
0000p378,0.0,37.861111
0000p393,0.0,39.375556
0000p408,0.0,40.89
0000p424,0.0,42.404444
0000p439,0.0,43.918889
0000p454,0.0,45.433333
0000p469,0.0,46.947778
0000p484,0.0,48.462222
0000p499,0.0,49.976667
0000p514,0.0,51.491111
0000p530,0.0,53.005556
0000p545,0.0,54.52
0000p560,0.0,56.034444
0000p575,0.0,57.548889
0000p590,0.0,59.063333
0000p605,0.0,60.577778
0000p620,0.0,62.092222
0000p636,0.0,63.606667
0000p651,0.0,65.121111
0000p666,0.0,66.635556
0000p681,0.0,68.15
0000p696,0.0,69.664444
0000p711,0.0,71.178889
0000p726,0.0,72.693333
0000p742,0.0,74.207778
0000p757,0.0,75.722222
0000p772,0.0,77.236667
0000p787,0.0,78.751111
0000p802,0.0,80.265556
0000p817,0.0,81.78
0000p832,0.0,83.294444
0000p848,0.0,84.808889
0000p863,0.0,86.323333
0000p878,0.0,87.837778
0000p893,0.0,89.352222
0015m016,1.512611,-1.514444
0015m031,1.512612,-3.028889
0015m046,1.518986,-4.543333
0015m061,1.518993,-6.057778
0015m076,1.525424,-7.572222
0015m091,1.531914,-9.086667
0015m107,1.53846,-10.601111
0015m122,1.545064,-12.115556
0015m137,1.551729,-13.63
0015m152,1.565215,-15.144444
0015m167,1.572059,-16.658889
0015m182,1.585907,-18.173333
0015p000,1.512611,0.0
0015p015,1.512611,1.514444
0015p030,1.512612,3.028889
0015p045,1.518986,4.543333
0015p060,1.518993,6.057778
0015p075,1.525424,7.572222
0015p090,1.531914,9.086667
0015p106,1.53846,10.601111
0015p121,1.545064,12.115556
0015p136,1.551729,13.63
0015p151,1.565215,15.144444
0015p166,1.572059,16.658889
0015p181,1.585907,18.173333
0016m197,1.600003,-19.687778
0016m213,1.614355,-21.202222
0016m228,1.628968,-22.716667
0016m243,1.651376,-24.231111
0016m258,1.666676,-25.745556
0016m273,1.690147,-27.26
0016p196,1.600003,19.687778
0016p212,1.614355,21.202222
0016p227,1.628968,22.716667
0016p242,1.651376,24.231111
0016p257,1.666676,25.745556
0016p272,1.690147,27.26
0017m288,1.714289,-28.774444
0017m303,1.739135,-30.288889
0017m319,1.764715,-31.803333
0017m334,1.799993,-33.317778
0017p287,1.714289,28.774444
0017p302,1.739135,30.288889
0017p318,1.764715,31.803333
0017p333,1.799993,33.317778
0018m349,1.827413,-34.832222
0018m364,1.865278,-36.346667
0018m379,1.894749,-37.861111
0018p348,1.827413,34.832222
0018p363,1.865278,36.346667
0018p378,1.894749,37.861111
0019m394,1.935493,-39.375556
0019m409,1.978031,-40.89
0019p393,1.935493,39.375556
0019p408,1.978031,40.89
0020m425,2.022485,-42.404444
0020m440,2.08091,-43.918889
0020p424,2.022485,42.404444
0020p439,2.08091,43.918889
0021m455,2.130177,-45.433333
0021m470,2.181837,-46.947778
0021p454,2.130177,45.433333
0021p469,2.181837,46.947778
0022m485,2.25,-48.462222
0022p484,2.25,48.462222
0023m500,2.322569,-49.976667
0023m515,2.384132,-51.491111
0023p499,2.322569,49.976667
0023p514,2.384132,51.491111
0024m531,2.465781,-53.005556
0024p530,2.465781,53.005556
0025m546,2.553222,-54.52
0025p545,2.553222,54.52
0026m561,2.666632,-56.034444
0026p560,2.666632,56.034444
0027m576,2.769218,-57.548889
0027p575,2.769218,57.548889
0028m591,2.880004,-59.063333
0028p590,2.880004,59.063333
0030m016,3.025221,-1.514444
0030m031,3.025223,-3.028889
0030m046,3.037973,-4.543333
0030m061,3.037986,-6.057778
0030m076,3.050847,-7.572222
0030m091,3.063827,-9.086667
0030m107,3.07692,-10.601111
0030m122,3.090128,-12.115556
0030m606,3.00005,-60.577778
0030p000,3.025222,0.0
0030p015,3.025221,1.514444
0030p030,3.025223,3.028889
0030p045,3.037973,4.543333
0030p060,3.037986,6.057778
